a_id,cont_id,cont_adv_id,cont_own_id,cont_prod_id,cont_date,cont_amt,b_id,adv_id,adv_name,c_id,clt_id,clt_name,e_id,prod_id,prod_name,d_id,cal_date,week_day,bus_day
a_20,E8382928,934429,C53369,p500,2020-08-05,203000,b_57,934429,Adv_57,c_9,C53369,Client_9,e_4,p500,Prod_E,d_217,2020-08-05,2,1
a_21,D4015904,728097,C53113,p300,2022-06-04,928000,b_97,728097,Adv_97,c_172,C53113,Client_172,e_2,p300,Prod_C,d_885,2022-06-04,5,0
a_22,B6844124,741655,C57471,p400,2022-10-12,924000,b_65,741655,Adv_65,c_17,C57471,Client_17,e_3,p400,Prod_D,d_1015,2022-10-12,2,1
a_23,E3020962,918769,C56499,p700,2021-02-04,460000,b_31,918769,Adv_31,c_49,C56499,Client_49,e_6,p700,Prod_G,d_400,2021-02-04,3,1
a_24,A1113804,391073,C57949,p200,2020-12-31,967000,b_96,391073,Adv_96,c_102,C57949,Client_102,e_1,p200,Prod_B,d_365,2020-12-31,3,1
a_25,A1802118,942262,C53314,p400,2022-01-03,794000,b_22,942262,Adv_22,c_291,C53314,Client_291,e_3,p400,Prod_D,d_733,2022-01-03,0,1
a_26,B3491067,197769,C56301,p300,2022-07-08,583000,b_69,197769,Adv_69,c_204,C56301,Client_204,e_2,p300,Prod_C,d_919,2022-07-08,4,1
a_27,E5365672,121238,C55654,p100,2021-10-14,863000,b_28,121238,Adv_28,c_94,C55654,Client_94,e_0,p100,Prod_A,d_652,2021-10-14,3,1
a_28,A4064534,634950,C50337,p100,2021-11-14,491000,b_92,634950,Adv_92,c_167,C50337,Client_167,e_0,p100,Prod_A,d_683,2021-11-14,6,0
a_29,F2090602,100765,C57802,p200,2020-11-07,504000,b_93,100765,Adv_93,c_278,C57802,Client_278,e_1,p200,Prod_B,d_311,2020-11-07,5,0
a_30,C3914924,225473,C55450,p100,2021-01-11,334000,b_6,225473,Adv_6,c_72,C55450,Client_72,e_0,p100,Prod_A,d_376,2021-01-11,0,1
a_31,B4783894,359102,C57636,p500,2020-08-02,612000,b_95,359102,Adv_95,c_183,C57636,Client_183,e_4,p500,Prod_E,d_214,2020-08-02,6,0
a_32,B7909809,699208,C57798,p400,2020-07-13,970000,b_40,699208,Adv_40,c_60,C57798,Client_60,e_3,p400,Prod_D,d_194,2020-07-13,0,1
a_33,A4157345,708313,C57927,p600,2020-10-16,287000,b_3,708313,Adv_3,c_197,C57927,Client_197,e_5,p600,Prod_F,d_289,2020-10-16,4,1
a_34,E8076704,850104,C59632,p700,2021-07-05,128000,b_60,850104,Adv_60,c_35,C59632,Client_35,e_6,p700,Prod_G,d_551,2021-07-05,0,1
a_35,F6792163,389054,C57080,p600,2020-10-11,783000,b_8,389054,Adv_8,c_163,C57080,Client_163,e_5,p600,Prod_F,d_284,2020-10-11,6,0
a_36,B1732776,752235,C53171,p300,2022-02-25,617000,b_21,752235,Adv_21,c_130,C53171,Client_130,e_2,p300,Prod_C,d_786,2022-02-25,4,1
a_37,C6410118,865372,C57026,p200,2022-02-19,928000,b_41,865372,Adv_41,c_168,C57026,Client_168,e_1,p200,Prod_B,d_780,2022-02-19,5,0
a_38,D6659000,752235,C56358,p600,2021-04-17,322000,b_21,752235,Adv_21,c_253,C56358,Client_253,e_5,p600,Prod_F,d_472,2021-04-17,5,0
a_39,C6215417,456688,C54078,p200,2021-12-02,770000,b_38,456688,Adv_38,c_248,C54078,Client_248,e_1,p200,Prod_B,d_701,2021-12-02,3,1
a_40,A4576160,197769,C51662,p500,2022-08-21,454000,b_69,197769,Adv_69,c_260,C51662,Client_260,e_4,p500,Prod_E,d_963,2022-08-21,6,0
a_41,E3611272,240750,C50189,p400,2021-10-13,635000,b_29,240750,Adv_29,c_175,C50189,Client_175,e_3,p400,Prod_D,d_651,2021-10-13,2,1
a_42,F7097327,728097,C55465,p700,2020-09-13,315000,b_97,728097,Adv_97,c_21,C55465,Client_21,e_6,p700,Prod_G,d_256,2020-09-13,6,0
a_43,D7896378,562559,C55517,p200,2021-11-05,564000,b_11,562559,Adv_11,c_226,C55517,Client_226,e_1,p200,Prod_B,d_674,2021-11-05,4,1
a_44,C2510816,398626,C55234,p500,2020-08-30,738000,b_99,398626,Adv_99,c_213,C55234,Client_213,e_4,p500,Prod_E,d_242,2020-08-30,6,0
a_45,C8779956,180825,C57351,p500,2020-07-10,819000,b_25,180825,Adv_25,c_147,C57351,Client_147,e_4,p500,Prod_E,d_191,2020-07-10,4,1
a_46,C7311916,547782,C55204,p200,2022-10-17,984000,b_91,547782,Adv_91,c_103,C55204,Client_103,e_1,p200,Prod_B,d_1020,2022-10-17,0,1
a_47,D5178906,643935,C52703,p700,2020-04-22,196000,b_77,643935,Adv_77,c_135,C52703,Client_135,e_6,p700,Prod_G,d_112,2020-04-22,2,1
a_48,D5171961,143682,C51759,p400,2021-12-13,887000,b_81,143682,Adv_81,c_123,C51759,Client_123,e_3,p400,Prod_D,d_712,2021-12-13,0,1
a_49,B5272610,981938,C50576,p600,2022-04-07,769000,b_24,981938,Adv_24,c_221,C50576,Client_221,e_5,p600,Prod_F,d_827,2022-04-07,3,1
a_50,C6027341,929461,C53274,p700,2021-01-24,398000,b_78,929461,Adv_78,c_127,C53274,Client_127,e_6,p700,Prod_G,d_389,2021-01-24,6,0
a_51,F2273619,174144,C53694,p300,2022-05-04,132000,b_43,174144,Adv_43,c_154,C53694,Client_154,e_2,p300,Prod_C,d_854,2022-05-04,2,1
a_52,A6973043,420312,C54321,p500,2021-05-26,302000,b_26,420312,Adv_26,c_193,C54321,Client_193,e_4,p500,Prod_E,d_511,2021-05-26,2,1
a_53,A6168162,207340,C50860,p100,2020-03-06,185000,b_27,207340,Adv_27,c_155,C50860,Client_155,e_0,p100,Prod_A,d_65,2020-03-06,4,1
a_54,F2204631,601014,C52446,p600,2020-03-09,641000,b_62,601014,Adv_62,c_261,C52446,Client_261,e_5,p600,Prod_F,d_68,2020-03-09,0,1
a_55,A5476790,314898,C52273,p600,2021-08-22,442000,b_51,314898,Adv_51,c_199,C52273,Client_199,e_5,p600,Prod_F,d_599,2021-08-22,6,0
a_56,A3051475,180825,C53925,p200,2020-09-21,913000,b_25,180825,Adv_25,c_92,C53925,Client_92,e_1,p200,Prod_B,d_264,2020-09-21,0,1
a_57,D8877579,314453,C53917,p100,2020-02-18,879000,b_23,314453,Adv_23,c_65,C53917,Client_65,e_0,p100,Prod_A,d_48,2020-02-18,1,1
a_58,C8610569,405276,C56169,p400,2021-11-27,176000,b_79,405276,Adv_79,c_188,C56169,Client_188,e_3,p400,Prod_D,d_696,2021-11-27,5,0
a_59,E4057277,708313,C56966,p700,2022-10-01,376000,b_3,708313,Adv_3,c_231,C56966,Client_231,e_6,p700,Prod_G,d_1004,2022-10-01,5,0
a_60,C4573678,267231,C53964,p300,2022-12-15,482000,b_70,267231,Adv_70,c_137,C53964,Client_137,e_2,p300,Prod_C,d_1079,2022-12-15,3,1
a_61,D4541713,433297,C53251,p700,2021-07-03,319000,b_44,433297,Adv_44,c_112,C53251,Client_112,e_6,p700,Prod_G,d_549,2021-07-03,5,0
a_62,B2893491,643935,C57525,p400,2020-08-14,362000,b_77,643935,Adv_77,c_243,C57525,Client_243,e_3,p400,Prod_D,d_226,2020-08-14,4,1
a_63,D7201078,314898,C57578,p100,2022-08-05,324000,b_51,314898,Adv_51,c_206,C57578,Client_206,e_0,p100,Prod_A,d_947,2022-08-05,4,1
a_64,E3855043,799164,C50733,p600,2021-06-18,449000,b_47,799164,Adv_47,c_20,C50733,Client_20,e_5,p600,Prod_F,d_534,2021-06-18,4,1
a_65,C6772672,759091,C55356,p100,2020-04-24,831000,b_1,759091,Adv_1,c_141,C55356,Client_141,e_0,p100,Prod_A,d_114,2020-04-24,4,1
a_66,D6410476,556744,C57525,p600,2020-02-01,687000,b_83,556744,Adv_83,c_243,C57525,Client_243,e_5,p600,Prod_F,d_31,2020-02-01,5,0
a_67,E2088745,142555,C54557,p500,2022-02-14,725000,b_7,142555,Adv_7,c_170,C54557,Client_170,e_4,p500,Prod_E,d_775,2022-02-14,0,1
a_68,C2652170,280189,C56288,p400,2021-07-22,601000,b_45,280189,Adv_45,c_254,C56288,Client_254,e_3,p400,Prod_D,d_568,2021-07-22,3,1
a_69,D1369031,180825,C52583,p200,2020-05-24,582000,b_25,180825,Adv_25,c_56,C52583,Client_56,e_1,p200,Prod_B,d_144,2020-05-24,6,0
a_70,E4491772,859330,C50587,p600,2022-10-26,296000,b_15,859330,Adv_15,c_122,C50587,Client_122,e_5,p600,Prod_F,d_1029,2022-10-26,2,1
a_71,D5471080,592435,C58050,p200,2021-04-10,919000,b_52,592435,Adv_52,c_224,C58050,Client_224,e_1,p200,Prod_B,d_465,2021-04-10,5,0
a_72,F4276064,827925,C53113,p400,2022-03-30,376000,b_2,827925,Adv_2,c_172,C53113,Client_172,e_3,p400,Prod_D,d_819,2022-03-30,2,1
a_73,F3706717,155067,C51781,p400,2020-06-12,896000,b_33,155067,Adv_33,c_99,C51781,Client_99,e_3,p400,Prod_D,d_163,2020-06-12,4,1
a_74,C3151082,454332,C58123,p700,2022-11-23,866000,b_10,454332,Adv_10,c_152,C58123,Client_152,e_6,p700,Prod_G,d_1057,2022-11-23,2,1
a_75,E5881101,559400,C53352,p300,2021-07-28,694000,b_63,559400,Adv_63,c_288,C53352,Client_288,e_2,p300,Prod_C,d_574,2021-07-28,2,1
a_76,A6571174,100765,C50837,p100,2022-07-20,847000,b_93,100765,Adv_93,c_182,C50837,Client_182,e_0,p100,Prod_A,d_931,2022-07-20,2,1
a_77,A3931306,274894,C55450,p500,2020-12-19,583000,b_17,274894,Adv_17,c_72,C55450,Client_72,e_4,p500,Prod_E,d_353,2020-12-19,5,0
a_78,F5668362,274894,C57680,p300,2022-07-10,385000,b_17,274894,Adv_17,c_293,C57680,Client_293,e_2,p300,Prod_C,d_921,2022-07-10,6,0
a_79,A1212755,405276,C51053,p200,2022-05-20,253000,b_79,405276,Adv_79,c_233,C51053,Client_233,e_1,p200,Prod_B,d_870,2022-05-20,4,1
a_80,C8762239,749684,C56499,p600,2020-05-22,284000,b_84,749684,Adv_84,c_49,C56499,Client_49,e_5,p600,Prod_F,d_142,2020-05-22,4,1
a_81,A3159739,283761,C51504,p600,2020-03-28,333000,b_48,283761,Adv_48,c_41,C51504,Client_41,e_5,p600,Prod_F,d_87,2020-03-28,5,0
a_82,D5977317,314453,C54547,p700,2021-04-28,604000,b_23,314453,Adv_23,c_87,C54547,Client_87,e_6,p700,Prod_G,d_483,2021-04-28,2,1
a_83,D3754446,601014,C51545,p600,2022-12-17,770000,b_62,601014,Adv_62,c_25,C51545,Client_25,e_5,p600,Prod_F,d_1081,2022-12-17,5,0
a_84,E8105048,398626,C56335,p400,2020-01-10,312000,b_99,398626,Adv_99,c_116,C56335,Client_116,e_3,p400,Prod_D,d_9,2020-01-10,4,1
a_85,A4539751,253754,C52179,p400,2022-02-12,578000,b_4,253754,Adv_4,c_218,C52179,Client_218,e_3,p400,Prod_D,d_773,2022-02-12,5,0
a_85,A4539751,253754,C52179,p400,2022-02-12,578000,b_4,253754,Adv_4,c_279,C52179,Client_279,e_3,p400,Prod_D,d_773,2022-02-12,5,0
a_86,C5359224,859330,C55198,p300,2020-07-17,136000,b_15,859330,Adv_15,c_138,C55198,Client_138,e_2,p300,Prod_C,d_198,2020-07-17,4,1
a_87,C8002009,814758,C55938,p600,2021-11-02,759000,b_73,814758,Adv_73,c_294,C55938,Client_294,e_5,p600,Prod_F,d_671,2021-11-02,1,1
a_88,E2333873,836654,C57117,p300,2020-04-08,397000,b_34,836654,Adv_34,c_73,C57117,Client_73,e_2,p300,Prod_C,d_98,2020-04-08,2,1
a_89,D2888695,723674,C52183,p600,2022-11-24,123000,b_36,723674,Adv_36,c_200,C52183,Client_200,e_5,p600,Prod_F,d_1058,2022-11-24,3,1
a_90,B6140237,274894,C53595,p500,2021-01-13,788000,b_17,274894,Adv_17,c_52,C53595,Client_52,e_4,p500,Prod_E,d_378,2021-01-13,2,1
a_91,A5481004,827925,C55517,p600,2022-12-27,110000,b_2,827925,Adv_2,c_226,C55517,Client_226,e_5,p600,Prod_F,d_1091,2022-12-27,1,1
a_92,E3601591,351031,C50695,p500,2022-04-08,140000,b_18,351031,Adv_18,c_264,C50695,Client_264,e_4,p500,Prod_E,d_828,2022-04-08,4,1
a_93,F5753274,913137,C56335,p700,2022-12-14,411000,b_5,913137,Adv_5,c_116,C56335,Client_116,e_6,p700,Prod_G,d_1078,2022-12-14,2,1
a_94,B1402624,451696,C51988,p600,2021-06-28,410000,b_88,451696,Adv_88,c_270,C51988,Client_270,e_5,p600,Prod_F,d_544,2021-06-28,0,1
a_95,A4751903,773326,C54146,p500,2022-10-21,279000,b_98,773326,Adv_98,c_101,C54146,Client_101,e_4,p500,Prod_E,d_1024,2022-10-21,4,1
a_96,D5902809,859330,C51341,p500,2022-05-17,192000,b_15,859330,Adv_15,c_166,C51341,Client_166,e_4,p500,Prod_E,d_867,2022-05-17,1,1
a_97,D4074280,304138,C58994,p300,2022-08-02,569000,b_16,304138,Adv_16,c_157,C58994,Client_157,e_2,p300,Prod_C,d_944,2022-08-02,1,1
a_98,D5713235,207340,C58334,p600,2021-12-08,522000,b_27,207340,Adv_27,c_66,C58334,Client_66,e_5,p600,Prod_F,d_707,2021-12-08,2,1
a_98,D5713235,207340,C58334,p600,2021-12-08,522000,b_27,207340,Adv_27,c_290,C58334,Client_290,e_5,p600,Prod_F,d_707,2021-12-08,2,1
a_99,C8739613,934429,C52421,p600,2020-05-16,717000,b_57,934429,Adv_57,c_131,C52421,Client_131,e_5,p600,Prod_F,d_136,2020-05-16,5,0
a_100,C5949126,571629,C53237,p500,2022-12-02,950000,b_66,571629,Adv_66,c_37,C53237,Client_37,e_4,p500,Prod_E,d_1066,2022-12-02,4,1
a_101,B6652141,439610,C54619,p200,2021-09-17,154000,b_87,439610,Adv_87,c_3,C54619,Client_3,e_1,p200,Prod_B,d_625,2021-09-17,4,1
a_102,C4503909,541952,C56392,p300,2020-08-05,827000,b_68,541952,Adv_68,c_151,C56392,Client_151,e_2,p300,Prod_C,d_217,2020-08-05,2,1
a_103,C5824499,691787,C50978,p500,2021-06-09,491000,b_37,691787,Adv_37,c_140,C50978,Client_140,e_4,p500,Prod_E,d_525,2021-06-09,2,1
a_104,B2622749,267231,C55028,p500,2020-02-16,326000,b_70,267231,Adv_70,c_247,C55028,Client_247,e_4,p500,Prod_E,d_46,2020-02-16,6,0
a_105,F8797394,283761,C59084,p600,2022-05-31,944000,b_48,283761,Adv_48,c_203,C59084,Client_203,e_5,p600,Prod_F,d_881,2022-05-31,1,1
a_106,E8864034,699208,C57026,p500,2022-07-23,918000,b_40,699208,Adv_40,c_168,C57026,Client_168,e_4,p500,Prod_E,d_934,2022-07-23,5,0
a_107,B4227122,314453,C55774,p400,2021-06-16,622000,b_23,314453,Adv_23,c_296,C55774,Client_296,e_3,p400,Prod_D,d_532,2021-06-16,2,1
a_108,E7169589,622781,C58334,p700,2022-11-22,642000,b_14,622781,Adv_14,c_66,C58334,Client_66,e_6,p700,Prod_G,d_1056,2022-11-22,1,1
a_108,E7169589,622781,C58334,p700,2022-11-22,642000,b_14,622781,Adv_14,c_290,C58334,Client_290,e_6,p700,Prod_G,d_1056,2022-11-22,1,1
a_109,D2078022,723674,C55450,p500,2022-11-06,335000,b_36,723674,Adv_36,c_72,C55450,Client_72,e_4,p500,Prod_E,d_1040,2022-11-06,6,0
a_110,D7586561,359102,C58088,p400,2020-12-21,910000,b_95,359102,Adv_95,c_74,C58088,Client_74,e_3,p400,Prod_D,d_355,2020-12-21,0,1
a_111,D7120452,562559,C57026,p700,2022-11-18,693000,b_11,562559,Adv_11,c_168,C57026,Client_168,e_6,p700,Prod_G,d_1052,2022-11-18,4,1
a_112,E8615729,767765,C54209,p500,2020-05-10,413000,b_9,767765,Adv_9,c_143,C54209,Client_143,e_4,p500,Prod_E,d_130,2020-05-10,6,0
a_113,D3953448,767765,C57949,p600,2022-03-25,585000,b_9,767765,Adv_9,c_102,C57949,Client_102,e_5,p600,Prod_F,d_814,2022-03-25,4,1
a_114,E1582345,814758,C58123,p100,2021-11-06,398000,b_73,814758,Adv_73,c_152,C58123,Client_152,e_0,p100,Prod_A,d_675,2021-11-06,5,0
a_115,E1780130,100765,C57039,p400,2022-02-04,926000,b_93,100765,Adv_93,c_210,C57039,Client_210,e_3,p400,Prod_D,d_765,2022-02-04,4,1
a_116,B1960287,174144,C50528,p400,2022-11-11,568000,b_43,174144,Adv_43,c_266,C50528,Client_266,e_3,p400,Prod_D,d_1045,2022-11-11,4,1
a_117,E3930092,518825,C56586,p500,2021-10-25,545000,b_13,518825,Adv_13,c_118,C56586,Client_118,e_4,p500,Prod_E,d_663,2021-10-25,0,1
a_118,B7359040,359102,C58940,p600,2022-05-25,911000,b_95,359102,Adv_95,c_97,C58940,Client_97,e_5,p600,Prod_F,d_875,2022-05-25,2,1
a_119,A3248973,314898,C59748,p500,2020-02-09,686000,b_51,314898,Adv_51,c_185,C59748,Client_185,e_4,p500,Prod_E,d_39,2020-02-09,6,0
a_120,F5528764,643025,C59632,p700,2021-08-22,571000,b_89,643025,Adv_89,c_35,C59632,Client_35,e_6,p700,Prod_G,d_599,2021-08-22,6,0
a_121,F1551900,280189,C50627,p500,2021-06-20,897000,b_45,280189,Adv_45,c_6,C50627,Client_6,e_4,p500,Prod_E,d_536,2021-06-20,6,0
a_122,A7650599,728097,C55842,p500,2021-03-11,190000,b_97,728097,Adv_97,c_77,C55842,Client_77,e_4,p500,Prod_E,d_435,2021-03-11,3,1
a_123,E1347025,673595,C59500,p400,2022-11-25,184000,b_56,673595,Adv_56,c_227,C59500,Client_227,e_3,p400,Prod_D,d_1059,2022-11-25,4,1
a_124,E8850575,119942,C55465,p100,2020-01-17,464000,b_32,119942,Adv_32,c_21,C55465,Client_21,e_0,p100,Prod_A,d_16,2020-01-17,4,1
a_125,C3240110,207340,C57138,p700,2021-05-07,101000,b_27,207340,Adv_27,c_195,C57138,Client_195,e_6,p700,Prod_G,d_492,2021-05-07,4,1
a_125,C3240110,207340,C57138,p700,2021-05-07,101000,b_27,207340,Adv_27,c_230,C57138,Client_230,e_6,p700,Prod_G,d_492,2021-05-07,4,1
a_126,A6672686,981938,C50728,p700,2022-03-15,224000,b_24,981938,Adv_24,c_110,C50728,Client_110,e_6,p700,Prod_G,d_804,2022-03-15,1,1
a_127,C4774743,348325,C53156,p700,2022-04-24,274000,b_72,348325,Adv_72,c_43,C53156,Client_43,e_6,p700,Prod_G,d_844,2022-04-24,6,0
a_128,D3539303,306559,C55517,p500,2022-01-13,658000,b_58,306559,Adv_58,c_226,C55517,Client_226,e_4,p500,Prod_E,d_743,2022-01-13,3,1
a_129,C8539059,451696,C50728,p300,2022-10-19,639000,b_88,451696,Adv_88,c_110,C50728,Client_110,e_2,p300,Prod_C,d_1022,2022-10-19,2,1
a_130,A1938667,142555,C59924,p100,2020-01-16,149000,b_7,142555,Adv_7,c_96,C59924,Client_96,e_0,p100,Prod_A,d_15,2020-01-16,3,1
a_131,B1779123,398626,C54564,p300,2022-01-02,786000,b_99,398626,Adv_99,c_108,C54564,Client_108,e_2,p300,Prod_C,d_732,2022-01-02,6,0
a_132,D1227860,314898,C57190,p700,2022-07-22,622000,b_51,314898,Adv_51,c_262,C57190,Client_262,e_6,p700,Prod_G,d_933,2022-07-22,4,1
a_133,C5870379,643025,C53156,p400,2020-10-05,282000,b_89,643025,Adv_89,c_43,C53156,Client_43,e_3,p400,Prod_D,d_278,2020-10-05,0,1
a_134,C8007892,611220,C50943,p200,2021-06-30,125000,b_86,611220,Adv_86,c_269,C50943,Client_269,e_1,p200,Prod_B,d_546,2021-06-30,2,1
a_135,C4858803,547782,C54836,p400,2020-06-19,373000,b_91,547782,Adv_91,c_23,C54836,Client_23,e_3,p400,Prod_D,d_170,2020-06-19,4,1
a_136,A5672256,456688,C54807,p100,2022-12-01,874000,b_38,456688,Adv_38,c_209,C54807,Client_209,e_0,p100,Prod_A,d_1065,2022-12-01,3,1
a_137,B4941396,314453,C59003,p600,2021-04-10,738000,b_23,314453,Adv_23,c_34,C59003,Client_34,e_5,p600,Prod_F,d_465,2021-04-10,5,0
a_138,A5226484,622781,C50587,p500,2021-09-12,454000,b_14,622781,Adv_14,c_122,C50587,Client_122,e_4,p500,Prod_E,d_620,2021-09-12,6,0
a_139,B3680068,433297,C58994,p100,2021-10-28,164000,b_44,433297,Adv_44,c_157,C58994,Client_157,e_0,p100,Prod_A,d_666,2021-10-28,3,1
a_140,D7172436,450449,C59319,p300,2021-08-19,129000,b_71,450449,Adv_71,c_115,C59319,Client_115,e_2,p300,Prod_C,d_596,2021-08-19,3,1
a_141,C3993382,314898,C51762,p100,2020-09-30,534000,b_51,314898,Adv_51,c_83,C51762,Client_83,e_0,p100,Prod_A,d_273,2020-09-30,2,1
a_142,C6910500,804837,C58088,p600,2021-07-14,123000,b_59,804837,Adv_59,c_74,C58088,Client_74,e_5,p600,Prod_F,d_560,2021-07-14,2,1
a_143,A5717255,828225,C56266,p400,2021-08-24,715000,b_54,828225,Adv_54,c_259,C56266,Client_259,e_3,p400,Prod_D,d_601,2021-08-24,1,1
a_144,F7864766,562559,C53369,p700,2021-10-20,523000,b_11,562559,Adv_11,c_9,C53369,Client_9,e_6,p700,Prod_G,d_658,2021-10-20,2,1
a_145,C6926571,359102,C53694,p500,2020-08-31,582000,b_95,359102,Adv_95,c_154,C53694,Client_154,e_4,p500,Prod_E,d_243,2020-08-31,0,1
a_146,F3421662,283761,C52519,p100,2021-03-18,456000,b_48,283761,Adv_48,c_12,C52519,Client_12,e_0,p100,Prod_A,d_442,2021-03-18,3,1
a_147,D6933318,691787,C55204,p300,2020-05-30,961000,b_37,691787,Adv_37,c_103,C55204,Client_103,e_2,p300,Prod_C,d_150,2020-05-30,5,0
a_148,A4723101,274894,C53546,p700,2021-07-31,139000,b_17,274894,Adv_17,c_208,C53546,Client_208,e_6,p700,Prod_G,d_577,2021-07-31,5,0
a_149,D2798352,518825,C52446,p500,2021-10-03,843000,b_13,518825,Adv_13,c_261,C52446,Client_261,e_4,p500,Prod_E,d_641,2021-10-03,6,0
a_150,E7059566,889774,C56095,p500,2021-09-24,641000,b_74,889774,Adv_74,c_8,C56095,Client_8,e_4,p500,Prod_E,d_632,2021-09-24,4,1
a_151,C1446209,592435,C52928,p700,2022-03-12,964000,b_52,592435,Adv_52,c_68,C52928,Client_68,e_6,p700,Prod_G,d_801,2022-03-12,5,0
a_152,F3735891,699208,C58682,p400,2022-09-15,887000,b_40,699208,Adv_40,c_184,C58682,Client_184,e_3,p400,Prod_D,d_988,2022-09-15,3,1
a_153,A6890941,221447,C50695,p700,2021-09-26,691000,b_39,221447,Adv_39,c_264,C50695,Client_264,e_6,p700,Prod_G,d_634,2021-09-26,6,0
a_154,B4183065,267231,C54094,p200,2022-11-13,595000,b_70,267231,Adv_70,c_5,C54094,Client_5,e_1,p200,Prod_B,d_1047,2022-11-13,6,0
a_155,E6413340,870280,C55234,p700,2020-01-13,557000,b_20,870280,Adv_20,c_213,C55234,Client_213,e_6,p700,Prod_G,d_12,2020-01-13,0,1
a_156,B4963363,367871,C52273,p300,2022-08-26,497000,b_55,367871,Adv_55,c_199,C52273,Client_199,e_2,p300,Prod_C,d_968,2022-08-26,4,1
a_157,C5363699,439610,C51504,p300,2021-08-25,178000,b_87,439610,Adv_87,c_41,C51504,Client_41,e_2,p300,Prod_C,d_602,2021-08-25,2,1
a_158,C3844210,142555,C55146,p400,2022-09-14,655000,b_7,142555,Adv_7,c_29,C55146,Client_29,e_3,p400,Prod_D,d_987,2022-09-14,2,1
